caseid,1,2,3,4,5
1258751,married,married,married,married,married
1260536,partnered,partnered,partnered,partnered,partnered
1261401,married,married,married,married,married
1262421,married,married,married,married,married
1263261,married,married,married,married,married
1266516,partnered,partnered,,,
1267401,married,married,married,married,married
1269411,married,married,married,married,married
1270636,married,married,married,married,married
1271456,partnered,partnered,partnered,partnered,partnered
1273236,partnered,partnered,partnered,married,married
1274576,married,married,,married,married
1275585,partnered,partnered,partnered,,
1278541,married,married,married,married,married
1279296,partnered,partnered,,,
1280305,partnered,partnered,married,married,married
1281395,partnered,,partnered,,
1283621,married,married,married,married,married
1284701,married,married,married,married,married
1285703,partnered,partnered,,,
1286415,partnered,partnered,partnered,partnered,partnered
1289291,married,married,married,married,married
1290401,married,married,married,married,married
1294631,married,married,,married,married
1297901,married,married,married,married,married
1298581,married,married,married,married,married
1299356,married,married,married,married,married
1301626,partnered,partnered,partnered,partnered,partnered
1302415,partnered,partnered,partnered,partnered,partnered
1303571,married,married,,married,married
1305741,married,married,married,married,married
1306381,married,married,married,married,married
1310523,partnered,partnered,partnered,married,married
1312301,married,married,married,married,married
1313431,married,married,,married,married
1315536,partnered,partnered,partnered,partnered,partnered
1316391,married,married,married,married,married
1320215,partnered,partnered,,married,married
1323596,married,married,married,married,married
1326451,married,married,married,married,married
1327693,partnered,partnered,partnered,partnered,partnered
1328713,married,married,married,married,married
1329235,partnered,partnered,married,married,married
1330251,married,married,married,married,married
1332405,partnered,partnered,partnered,married,married
1333711,married,married,married,,
1334261,married,married,married,married,married
1335363,partnered,partnered,partnered,partnered,partnered
1340556,partnered,partnered,partnered,partnered,partnered
1341511,married,married,married,married,married
1345356,partnered,partnered,partnered,partnered,partnered
1348345,partnered,partnered,,,
1349311,married,married,married,married,married
1352771,married,married,married,married,married
1354291,married,married,married,married,married
1356751,married,married,married,married,married
1358455,partnered,partnered,partnered,partnered,partnered
1361771,married,married,married,married,married
1363253,partnered,partnered,,partnered,partnered
1364533,partnered,partnered,,,
1366341,married,married,married,married,married
1368545,partnered,partnered,,,
1369721,married,married,married,married,married
1370453,partnered,partnered,,,
1371681,married,married,married,married,married
1372391,married,married,married,married,married
1373663,partnered,partnered,,,
1374731,married,married,,married,married
1375681,married,married,married,married,married
1376386,partnered,partnered,partnered,partnered,partnered
1377811,married,married,,married,married
1379291,married,married,married,married,married
1380606,partnered,partnered,partnered,partnered,partnered
1381205,partnered,partnered,,partnered,partnered
1382546,married,married,,,
1383671,married,married,married,married,married
1384431,married,married,married,married,married
1386291,married,married,married,married,married
1387255,partnered,partnered,partnered,partnered,partnered
1392612,partnered,partnered,partnered,partnered,partnered
1393286,married,married,,,
1394385,partnered,partnered,partnered,partnered,partnered
1396626,partnered,partnered,,,
1398431,married,married,,married,married
1402461,married,married,,married,married
1403571,married,married,married,married,married
1405701,married,married,married,married,married
1408531,married,married,married,married,married
1409551,married,married,married,married,married
1410441,partnered,partnered,partnered,,
1411661,married,married,married,married,married
1412495,partnered,partnered,partnered,,
1413821,married,married,married,married,married
1416791,married,married,,married,married
1418265,partnered,partnered,partnered,partnered,married
1421401,married,married,married,married,married
1422621,married,married,married,married,married
1425271,married,married,married,married,married
1426355,partnered,partnered,married,married,married
1427636,married,married,,married,married
1428631,married,married,,married,married
1430681,married,married,married,married,married
1433533,partnered,partnered,partnered,partnered,partnered
1434421,married,married,married,married,married
1435285,partnered,partnered,,,
1437591,married,married,married,married,married
1438781,married,married,married,married,married
1439225,partnered,partnered,,,
1440573,partnered,partnered,partnered,partnered,partnered
1445491,married,married,married,married,married
1446561,married,married,married,married,married
1449706,married,married,married,married,married
1451501,married,married,married,married,married
1454411,married,married,married,married,married
1456556,married,married,married,married,married
1458801,married,married,,married,married
1459321,married,married,,married,married
1461341,married,married,,married,married
1463856,partnered,partnered,,,
1464431,married,married,married,married,married
1465371,married,married,married,married,married
1466245,married,married,married,married,married
1467541,married,married,married,married,married
1468606,partnered,partnered,partnered,partnered,partnered
1469225,partnered,partnered,partnered,partnered,partnered
1472491,married,married,married,married,married
1473421,married,married,married,married,married
1474566,partnered,partnered,partnered,partnered,partnered
1475711,married,married,married,married,married
1476271,married,married,,married,married
1477205,partnered,partnered,partnered,partnered,married
1478566,partnered,partnered,partnered,partnered,partnered
